step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
41,0,0.001,9.14211,2000,3.11084,2.92775,3.26117,3.14515,537,501,1933.2,1803.6,2,2,1403.99,16.244,55.7685,700,700,0.2455,491,0.00860059,17.2012,6.2345,12469,82,-0.979686,-3.64569e-10,0.54113,0.0508361,403.634
42,0,0.001,9.56073,2000,2.94559,2.82769,3.22617,2.96751,522,482,1879.2,1735.2,4,4,1426.82,21.435,61.6655,700,700,0.231,462,0.00510898,10.218,6.3045,12609,79,-0.767931,3.22242e-11,0.580589,0.0526299,413.479
43,0,0.001,8.6979,2000,3.20109,3.0616,3.43486,3.22689,521,484,1875.6,1742.4,0,0,1241.79,22.484,59.6315,700,700,0.242,484,0.00750468,15.0094,5.796,11592,79,-0.709932,-1.36567e-10,0.514241,0.0516419,422.454
44,0,0.001,9.27704,2000,2.91814,2.77572,3.21395,2.94456,514,472,1850.4,1699.2,2,2,1237.77,25.9225,65.8285,700,700,0.231,462,0.00486392,9.72783,6.24,12480,77,-0.596734,-9.41451e-10,0.521258,0.0545721,432.012
45,0,0.001,9.12605,2000,3.10692,2.91208,3.29959,3.14336,531,501,1911.6,1803.6,0,0,1522.97,15.103,54.2505,700,700,0.2505,501,0.00926245,18.5249,6.166,12332,80,-0.900159,-1.09325e-10,0.5842,0.0519159,441.407
46,0,0.001,8.40573,2000,3.41928,3.20009,3.43512,3.46104,536,503,1929.6,1810.8,4,4,1462.4,21.376,57.1965,700,700,0.2415,483,0.0070262,14.0524,5.7305,11461,83,-0.945761,7.98771e-10,0.591524,0.050091,450.084
47,0,0.001,9.168,2000,3.19252,2.99645,3.36634,3.22943,538,501,1936.8,1803.6,2,2,1381.96,20.2085,58.7265,700,700,0.2455,491,0.00783187,15.6637,6.098,12196,81,-0.95352,-2.29218e-11,0.571888,0.0540643,459.53
48,0,0.001,9.06244,2000,3.10636,2.95379,3.34337,3.13463,521,486,1875.6,1749.6,0,0,1316,25.405,63.739,700,700,0.243,486,0.00711444,14.2289,5.9895,11979,81,-0.723799,9.81565e-10,0.521946,0.0509577,468.879
49,0,0.001,8.70536,2000,3.40759,3.18297,3.41283,3.45031,548,518,1972.8,1864.8,0,0,1475.15,11.3475,48.2865,700,700,0.259,518,0.0107747,21.5495,5.901,11802,85,-1.05552,-1.04101e-09,0.616329,0.0551369,477.863
50,0,0.001,8.85084,2000,3.22399,3.0355,3.38459,3.25939,530,496,1908,1785.6,0,0,1292.37,25.127,62.6915,700,700,0.248,496,0.00804535,16.0907,5.9365,11873,82,-0.7964,3.2896e-10,0.561294,0.0526221,487.014
