step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
50,0,0.001,7.70599,2000,3.61844,3.26527,3.19475,3.68839,516,486,1857.6,1749.6,2,2,1481.53,28.002,60.4235,700,700,0.238,476,0.00720426,14.4085,5.3575,10715,78,-0.802803,2.64388e-10,0.928687,0.0472188,438.174
51,0,0.001,7.65408,2000,3.81814,3.43714,3.23815,3.89349,528,493,1900.8,1774.8,4,3,1324.51,19.7075,51.0945,700,700,0.2365,473,0.00681387,13.6277,5.1805,10361,79,-0.832936,1.75613e-10,0.921552,0.0466881,446.094
52,0,0.001,8.65308,2000,3.26193,2.97824,2.97646,3.31653,519,488,1868.4,1756.8,0,0,1510.66,25.352,61.6605,700,700,0.244,488,0.00812989,16.2598,5.857,11714,78,-0.822711,-5.75118e-10,0.894954,0.0480521,455.011
53,0,0.001,7.88683,2000,3.54847,3.2028,3.17397,3.61611,520,493,1872,1774.8,2,2,1620.31,26.86,60.721,700,700,0.2415,483,0.00758255,15.1651,5.539,11078,79,-0.864014,-8.88596e-10,0.922921,0.051393,463.153
54,0,0.001,8.28488,2000,3.34632,3.08179,3.03168,3.3971,524,487,1886.4,1753.2,4,3,1363.36,20.9255,56.529,700,700,0.2335,467,0.00597661,11.9532,5.7315,11463,81,-0.708144,-3.23062e-10,0.916423,0.051904,471.707
55,0,0.001,7.90812,2000,3.63078,3.3575,3.2548,3.68317,535,500,1926,1800,4,4,1319.44,17.2305,50.7015,700,700,0.24,480,0.00712791,14.2558,5.3825,10765,83,-0.771254,9.3498e-10,0.886555,0.0486531,479.876
56,0,0.001,7.55112,2000,3.89047,3.56088,3.32551,3.95391,542,502,1951.2,1807.2,10,8,1408.99,15.5265,46.9925,700,700,0.226,452,0.00438006,8.76013,5.076,10152,83,-0.739227,5.0661e-10,0.893155,0.045774,487.679
57,0,0.001,8.50521,2000,3.40228,3.13966,3.11831,3.45293,526,495,1893.6,1782,2,2,1419.08,19.7935,55.0875,700,700,0.2425,485,0.00745013,14.9003,5.7045,11409,82,-0.78758,9.43154e-11,0.909783,0.0518401,496.453
58,0,0.001,8.23902,2000,3.41319,3.1437,3.08117,3.4652,524,494,1886.4,1778.4,0,0,1489.5,22.4915,57.5645,700,700,0.247,494,0.00824124,16.4825,5.672,11344,81,-0.801947,5.05913e-10,0.911308,0.0508451,504.954
59,0,0.001,7.79335,2000,3.60723,3.28506,3.18998,3.67008,520,495,1872,1782,0,0,1531.89,24.8125,57.5625,700,700,0.2475,495,0.00825718,16.5144,5.3445,10689,80,-0.788627,2.14457e-10,0.910673,0.046804,513.007
